360,-22.8,-19.5,4.5,106.8,3.9,-28.4,30.5,108.3,36.6,-57.8,14.3,137.4
361,0.7,-1.1,10.1,118.8,36.3,-2.7,38.9,108.6,38.7,-22.9,13.1,114.6
362,24.1,17.2,15.6,130.7,68.6,23.0,47.3,109.0,40.8,11.9,12.0,91.8
363,19.6,21.5,20.6,139.4,86.2,30.2,45.1,115.7,48.5,31.7,8.4,81.3
364,-21.8,6.9,24.8,143.7,84.1,12.8,28.7,130.9,63.7,31.3,1.4,87.3
365,-63.3,-7.6,29.0,148.0,82.0,-4.6,12.3,146.0,79.0,30.8,-5.6,93.3
366,-53.5,-5.5,32.9,144.7,68.9,-4.6,17.9,125.5,57.5,20.5,1.7,111.1
367,-29.2,1.2,36.6,139.3,52.7,0.2,29.7,94.9,25.7,7.3,13.1,132.3
368,-5.2,8.0,40.3,137.4,38.7,8.7,43.0,73.6,2.2,-2.9,22.7,147.2
369,16.3,14.5,43.5,158.1,38.6,40.7,66.2,111.8,32.5,5.4,21.0,121.4
370,37.8,20.9,46.6,178.7,38.4,72.7,89.3,150.0,62.7,13.7,19.4,95.7
371,42.3,17.3,42.1,191.1,41.5,82.6,94.3,182.7,78.7,26.6,28.9,90.5
372,29.2,3.2,29.9,194.9,48.0,69.8,80.7,209.7,80.0,44.3,50.0,106.6
373,16.0,-10.8,17.6,198.7,54.4,57.0,67.0,236.8,81.3,61.9,71.2,122.6
374,29.8,9.0,18.8,181.0,49.8,48.0,58.7,205.0,64.6,61.0,65.8,120.9
375,48.1,34.6,22.4,159.6,43.2,39.6,51.4,163.3,44.9,57.0,55.8,116.3
376,63.8,49.9,23.6,140.5,41.3,32.2,46.0,130.4,32.1,47.5,43.1,115.0
377,70.0,28.5,16.5,129.4,55.6,28.0,47.2,128.8,44.2,18.6,20.3,125.8
378,76.3,7.1,9.4,118.4,69.9,23.8,48.4,127.2,56.3,-10.4,-2.5,136.5
379,71.0,1.1,6.3,112.5,67.5,41.1,53.4,140.1,59.5,-8.9,-4.1,128.2
380,57.6,5.9,5.9,110.1,53.5,73.4,61.2,163.1,56.4,13.9,9.0,106.7
381,44.1,10.6,5.6,107.7,39.5,105.7,68.9,186.0,53.4,36.7,22.2,85.2
382,33.6,18.1,44.0,126.4,58.1,78.6,75.7,158.3,68.6,32.6,35.9,101.8
383,23.2,25.6,83.9,145.9,78.0,49.2,82.5,128.6,84.4,27.4,49.5,119.8
384,18.2,19.6,97.7,150.7,84.1,27.5,80.4,110.3,86.7,21.5,51.2,130.6
385,23.6,-12.8,60.3,126.8,63.2,21.0,61.1,114.1,62.4,14.0,29.4,127.2
386,28.9,-45.3,22.9,102.8,42.3,14.4,41.8,117.9,38.1,6.5,7.6,123.9
387,32.3,-37.8,19.0,95.8,41.5,9.8,24.9,119.6,39.0,11.3,21.6,129.7
388,35.0,-14.7,28.1,95.3,48.6,5.8,8.9,120.5,49.7,20.8,49.7,139.0
389,36.4,6.4,35.6,96.6,55.1,2.0,-3.5,123.0,58.8,28.5,71.3,146.1
390,27.5,10.1,30.1,113.3,57.5,-1.1,14.9,139.5,54.0,20.8,36.9,133.7
391,18.6,13.8,24.6,130.0,59.8,-4.2,33.2,156.0,49.2,13.1,2.4,121.4
392,25.6,20.7,23.5,142.8,63.2,-3.1,52.0,171.9,50.5,11.2,-10.5,122.9
393,49.0,31.0,26.9,151.5,67.8,2.4,71.3,187.1,58.1,15.1,-1.0,138.9
394,72.5,41.3,30.3,160.3,72.4,7.8,90.6,202.3,65.7,19.1,8.5,154.9
395,67.4,34.3,14.2,145.0,71.6,27.5,70.0,173.8,72.3,15.5,2.5,141.5
396,58.5,25.1,-4.6,126.5,70.0,49.0,44.2,139.5,78.7,10.9,-5.4,124.3
397,49.3,19.2,-11.2,115.9,75.0,61.5,28.9,123.7,84.3,12.1,-11.6,121.4
398,39.2,21.6,13.5,125.6,96.5,50.5,40.8,155.8,87.7,28.5,-13.1,155.3
399,29.2,24.0,38.2,135.3,118.1,39.6,52.7,187.9,91.0,44.9,-14.6,189.2
400,13.5,11.3,25.5,115.1,99.2,18.7,39.3,169.1,82.9,26.5,-7.6,165.3
401,-4.9,-8.4,-4.7,80.8,61.2,-6.9,13.9,126.4,69.4,-8.3,3.4,114.1
402,-19.2,-25.8,-33.3,51.6,26.6,-29.6,-8.7,89.1,57.5,-40.5,11.6,68.5
403,11.0,-18.6,-43.0,77.3,29.9,-19.3,-1.6,111.6,62.8,-43.7,-10.7,83.5
404,41.3,-11.4,-52.7,103.0,33.3,-9.0,5.6,134.0,68.0,-46.9,-33.0,98.4
405,62.0,-5.1,-38.5,122.6,45.4,3.1,15.4,160.0,82.7,-25.5,-31.0,122.5
406,72.7,0.5,0.3,136.0,66.6,17.1,28.0,189.7,107.1,21.3,-3.8,156.1
407,83.5,6.0,39.2,149.3,87.9,31.1,40.6,219.4,131.5,68.1,23.3,189.7
408,60.4,32.9,31.6,163.0,94.3,37.1,47.0,206.6,127.6,50.5,27.8,210.2
409,33.7,62.0,19.1,176.7,99.1,42.1,52.7,189.4,120.7,26.1,29.9,229.2
410,33.0,77.7,18.4,184.1,107.7,43.3,63.6,190.2,126.1,14.9,37.2,238.8
411,87.9,64.7,42.6,178.3,124.7,36.5,85.3,229.4,157.9,32.1,55.6,228.3
412,142.9,51.8,66.9,172.5,141.7,29.6,107.0,268.5,189.7,49.4,74.1,217.7
413,144.3,39.6,54.2,192.6,165.9,23.4,80.0,281.0,207.2,37.7,48.8,233.9
414,126.9,27.7,28.6,221.8,192.6,17.5,35.8,284.0,219.8,15.8,8.1,259.5
415,119.4,22.4,14.5,256.3,227.1,16.1,1.9,297.2,241.0,3.6,-17.3,291.7
416,162.5,50.7,59.5,317.8,300.5,38.1,20.9,362.3,306.4,41.2,36.1,357.6
417,205.7,79.0,104.4,379.4,373.9,60.0,39.8,427.3,371.9,78.8,89.4,423.4
418,256.4,86.2,107.2,415.4,412.2,72.6,58.8,482.0,418.8,74.2,88.4,470.7
419,312.3,78.8,81.0,433.9,426.1,78.7,77.9,529.4,452.9,40.4,49.9,505.1
420,368.3,70.8,55.3,453.3,442.2,84.6,95.9,578.2,488.0,7.9,12.2,541.2
421,423.2,39.0,49.5,512.8,547.6,83.1,73.9,681.5,565.8,28.3,6.5,645.2
422,478.0,7.2,43.8,572.4,652.9,81.6,51.9,784.7,643.6,48.6,0.8,749.3
423,553.7,14.5,44.7,662.0,773.4,70.6,46.7,895.4,761.1,58.6,6.9,878.3
424,653.6,67.6,53.5,786.8,911.5,48.6,61.2,1015.1,925.1,56.7,26.8,1036.7
425,753.6,120.7,62.3,911.6,1049.6,26.5,75.8,1134.7,1089.2,54.8,46.6,1195.1
426,934.1,107.2,64.3,1090.4,1286.3,33.5,85.8,1400.9,1334.5,46.2,63.1,1441.4
427,1123.3,86.4,65.5,1275.2,1533.8,43.8,95.4,1683.2,1588.8,37.0,79.2,1697.3
428,1333.6,75.8,73.5,1484.7,1809.9,56.8,104.1,1987.4,1864.3,33.8,86.0,1979.8
429,1583.4,84.3,94.1,1740.8,2140.0,74.8,111.1,2332.9,2180.1,42.3,75.2,2312.3
430,1833.2,92.8,114.7,1996.9,2470.1,92.9,118.1,2678.5,2495.8,50.8,64.4,2644.8
431,2167.0,99.1,134.5,2387.9,2976.1,81.7,123.3,3179.9,2990.9,61.0,75.9,3128.0
432,2522.2,104.9,154.1,2813.5,3527.1,63.1,128.1,3721.3,3531.8,71.6,93.2,3649.7
433,2941.5,107.2,170.4,3287.8,4154.1,45.1,134.9,4338.6,4141.3,72.9,107.0,4255.7
434,3553.0,99.2,177.0,3908.6,5008.8,29.3,148.0,5183.6,4956.5,46.3,110.6,5114.9
435,4164.6,91.1,183.6,4529.3,5863.6,13.6,161.1,6028.6,5771.7,19.6,114.1,5974.1
436,4901.2,91.7,198.0,5278.4,6817.3,30.7,179.0,7016.7,6740.6,52.3,112.1,6990.6
437,5689.4,95.8,215.5,6080.4,7811.9,61.5,198.8,8063.6,7772.8,109.4,107.8,8072.0
438,6512.0,96.9,234.0,6921.9,8883.5,86.4,220.0,9177.4,8871.8,151.8,108.3,9211.8
439,7502.0,83.8,257.1,7956.1,10329.8,83.3,247.5,10616.1,10296.1,122.6,132.1,10635.9
440,8492.0,70.7,280.1,8990.2,11776.1,80.1,275.0,12054.8,11720.4,93.3,156.0,12060.1
441,9810.2,78.6,324.0,10379.2,13589.8,85.6,294.1,13907.8,13578.9,84.6,187.5,13889.2
442,11315.4,98.5,379.8,11970.2,15612.8,96.2,308.6,15996.6,15684.6,87.5,223.3,15948.7
443,12862.0,117.1,434.7,13601.1,17693.4,105.8,328.7,18144.4,17833.0,91.7,258.3,18068.7
444,14748.8,125.0,482.6,15559.4,20248.2,108.1,394.8,20777.7,20332.6,105.3,287.3,20685.9
445,16635.6,132.8,530.5,17517.8,22803.0,110.3,461.0,23410.9,22832.2,118.9,316.3,23303.1
446,18373.7,137.4,567.4,19314.3,25093.3,128.8,502.5,25772.4,25117.5,133.5,343.2,25686.2
447,20005.9,139.7,596.3,20995.7,27195.2,158.9,526.5,27940.3,27250.2,148.8,368.7,27902.5
448,21602.7,142.2,624.4,22645.5,29261.3,186.1,550.7,30067.7,29341.6,162.9,392.4,30075.0
449,22682.3,149.5,640.0,23837.3,30806.6,173.4,577.8,31605.1,30831.9,159.8,390.3,31610.4
450,23761.9,156.8,655.6,25029.1,32351.8,160.7,604.8,33142.6,32322.2,156.8,388.3,33145.7
451,24427.0,164.0,680.8,25687.5,33251.6,160.5,634.2,34044.6,33232.5,153.3,406.4,34018.9
452,24751.5,171.3,714.0,25907.6,33621.3,170.7,665.4,34424.4,33666.5,149.5,441.1,34348.1
453,25018.1,178.3,743.5,26075.2,33916.2,180.6,692.9,34727.4,34024.4,146.5,472.8,34603.1
454,23824.2,178.0,679.7,24922.7,32328.0,182.0,626.8,33096.0,32466.3,164.5,429.6,32987.5
455,22630.2,177.8,615.9,23770.1,30739.9,183.4,560.6,31464.6,30908.3,182.5,386.3,31371.8
456,21355.7,166.8,584.2,22469.3,29056.7,178.1,516.6,29734.5,29219.6,180.5,349.8,29680.7
457,20010.2,146.6,580.6,21038.2,27289.8,166.9,492.0,27917.7,27415.8,160.9,319.3,27923.2
458,18661.1,127.8,575.0,19604.7,25515.3,156.3,468.0,26094.4,25605.7,142.2,289.6,26156.6
459,17196.3,158.4,508.2,18096.9,23500.0,166.2,460.4,24064.8,23589.8,148.1,287.4,24101.4
460,15731.6,189.0,441.3,16589.1,21484.6,176.1,452.7,22035.1,21573.9,154.0,285.3,22046.2
461,14432.9,211.9,394.7,15245.7,19718.8,200.0,423.5,20257.5,19796.8,164.7,268.8,20256.3
462,13279.5,228.0,365.9,14046.3,18171.5,236.0,375.3,18700.6,18228.8,179.7,239.8,18698.7
463,12134.9,244.7,337.9,12860.5,16636.9,271.6,328.5,17159.5,16675.6,195.0,212.0,17155.7
464,11194.8,274.6,329.8,11996.1,15401.7,296.3,313.6,15991.7,15471.4,217.0,211.3,15954.7
465,10254.8,304.5,321.7,11131.8,14166.6,321.1,298.8,14823.8,14267.2,238.9,210.5,14753.6
466,9438.9,343.6,307.1,10333.3,13024.9,356.4,274.6,13727.1,13114.0,265.6,208.6,13647.6
467,8723.4,390.0,287.4,9587.9,11958.8,400.2,242.9,12687.9,12002.1,296.1,205.7,12618.2
468,8014.8,439.9,270.0,8857.7,10910.9,447.7,214.0,11669.7,10910.1,329.4,201.7,11603.4
469,7400.1,535.7,283.2,8327.8,10105.1,543.6,222.2,10931.6,10083.0,400.7,184.4,10781.5
470,6785.3,631.6,296.4,7798.0,9299.2,639.4,230.4,10193.4,9256.0,472.0,167.0,9959.7
471,6195.5,715.4,284.5,7283.9,8513.5,726.7,220.8,9489.8,8460.1,549.1,157.6,9238.0
472,5622.8,790.8,255.3,6780.7,7741.6,808.1,198.9,8809.9,7685.6,630.3,153.7,8585.4
473,5063.2,871.1,229.8,6297.7,6981.1,894.5,180.7,8142.6,6929.7,710.7,149.0,7941.3
474,4600.8,987.7,231.4,5965.7,6305.9,1018.1,190.1,7568.9,6312.0,785.6,138.4,7361.6
475,4138.3,1104.2,233.0,5633.8,5630.7,1141.6,199.4,6995.3,5694.4,860.5,127.8,6781.8
476,3743.7,1204.4,226.0,5290.6,5065.4,1269.7,199.2,6522.3,5129.1,942.4,131.9,6272.9
477,3385.7,1295.8,214.2,4941.3,4559.5,1400.1,193.8,6103.7,4592.2,1027.9,144.0,5802.4
478,3037.4,1385.2,206.4,4632.0,4078.9,1518.3,189.3,5709.2,4083.0,1108.4,153.4,5361.0
479,2731.8,1466.2,215.6,4498.8,3709.5,1582.1,188.8,5420.2,3695.5,1166.8,151.0,5048.0
480,2426.3,1547.1,224.9,4365.6,3340.1,1645.9,188.3,5131.1,3308.1,1225.2,148.6,4735.0
481,2227.8,1631.3,226.3,4227.7,3062.2,1690.8,203.8,4935.3,3047.9,1268.8,155.2,4532.4
482,2069.8,1716.8,224.6,4087.9,2818.8,1728.6,225.4,4774.7,2835.6,1306.9,165.1,4371.4
483,1911.8,1780.4,221.3,3955.2,2585.1,1771.1,234.5,4610.3,2617.2,1342.1,166.9,4191.9
484,1753.7,1785.8,213.5,3841.1,2377.4,1826.5,210.3,4435.8,2382.2,1369.5,146.7,3962.8
485,1595.7,1791.1,205.7,3727.0,2169.6,1881.8,186.0,4261.2,2147.3,1396.9,126.6,3733.6
486,1473.4,1832.2,210.9,3612.8,2006.8,1910.7,199.9,4128.6,1990.7,1431.7,137.9,3610.6
487,1358.8,1880.9,219.0,3498.6,1853.7,1933.7,222.0,4005.1,1851.2,1468.0,155.9,3510.5
488,1263.0,1949.8,225.5,3443.0,1731.8,1975.6,235.5,3931.9,1740.1,1516.6,168.5,3442.0
489,1198.3,2051.8,229.5,3483.9,1661.1,2048.5,235.2,3941.6,1676.0,1585.1,172.0,3425.7
490,1133.6,2153.8,233.5,3524.7,1590.5,2121.3,234.8,3951.4,1611.9,1653.7,175.4,3409.3
491,1090.8,2217.5,241.1,3570.6,1502.8,2206.8,236.4,3990.2,1521.1,1703.4,159.3,3391.5
492,1049.3,2278.6,249.0,3616.7,1414.0,2293.1,238.1,4031.0,1428.5,1752.0,141.8,3373.6
493,1023.8,2400.7,262.0,3724.2,1368.0,2436.4,239.1,4123.2,1370.2,1851.9,137.5,3423.0
494,1013.8,2582.9,279.9,3892.3,1364.1,2636.1,239.6,4266.1,1345.8,2002.4,146.1,3538.8
495,1003.1,2769.1,297.3,4069.6,1361.4,2838.9,241.5,4419.9,1326.1,2156.3,155.4,3665.8
496,981.6,3005.7,307.0,4362.7,1372.4,3080.8,260.7,4709.7,1365.2,2351.8,173.0,3934.1
497,960.1,3242.3,316.7,4655.8,1383.4,3322.7,280.0,4999.5,1404.3,2547.3,190.6,4202.4
498,989.4,3560.2,342.5,5036.0,1397.3,3662.2,303.4,5397.3,1419.5,2788.6,209.3,4535.2
499,1046.3,3921.9,377.1,5463.3,1412.8,4054.4,329.2,5853.4,1421.7,3054.7,228.7,4902.8
500,1097.1,4316.7,411.1,5922.1,1437.7,4471.1,359.7,6340.9,1436.1,3350.9,246.9,5276.7
501,1127.5,4822.0,443.6,6486.6,1494.0,4969.9,406.4,6933.7,1491.2,3747.8,261.1,5672.3
502,1157.9,5327.4,476.0,7051.1,1550.4,5468.6,453.0,7526.4,1546.3,4144.8,275.3,6067.8
503,1196.6,5947.8,531.0,7775.6,1615.2,6062.6,476.2,8261.4,1632.2,4624.9,314.0,6671.9
504,1237.1,6594.2,591.1,8536.4,1682.0,6678.3,494.0,9028.7,1725.1,5123.8,358.2,7323.3
505,1277.7,7308.1,646.2,9373.6,1738.9,7387.0,536.2,9875.7,1799.9,5656.3,398.1,8000.9
506,1318.3,8120.8,693.9,10322.7,1781.2,8232.0,614.0,10839.7,1848.1,6237.9,431.4,8716.8
507,1359.0,8933.8,741.5,11272.0,1823.5,9077.3,691.8,11803.9,1896.3,6819.8,464.7,9432.7
508,1414.8,9908.3,817.2,12343.1,1907.6,10119.3,772.4,12944.3,1948.0,7597.7,507.0,10296.3
509,1470.7,10882.8,892.9,13414.3,1991.7,11161.4,853.0,14084.7,1999.7,8375.6,549.2,11159.9
510,1509.2,11786.5,973.3,14459.6,2053.8,12070.5,928.2,15133.2,2052.6,9077.7,595.9,11974.2
511,1536.3,12643.5,1056.9,15487.9,2101.3,12891.6,999.7,16120.8,2106.2,9729.7,645.6,12756.0
512,1554.5,13505.5,1134.9,16488.5,2135.8,13721.4,1064.9,17093.9,2146.6,10382.6,694.2,13517.9
513,1539.4,14386.6,1191.5,17383.5,2120.6,14584.5,1106.2,18011.8,2136.2,11039.2,738.5,14204.0
514,1524.2,15267.8,1248.2,18278.4,2105.4,15447.6,1147.4,18929.7,2125.7,11695.7,782.8,14890.1
515,1538.2,16129.3,1308.5,19227.2,2092.8,16352.3,1191.9,19893.0,2118.1,12384.3,823.1,15614.1
516,1558.5,16986.5,1369.5,20187.9,2080.8,17266.1,1237.0,20866.5,2111.1,13080.1,862.6,16346.4
517,1546.0,17796.6,1423.5,21075.7,2066.4,18106.8,1277.9,21744.5,2102.4,13728.1,901.2,17012.6
518,1490.7,18545.3,1468.3,21868.8,2048.8,18852.3,1313.3,22498.7,2091.4,14314.2,938.7,17592.9
519,1437.3,19277.8,1514.6,22646.2,2028.9,19585.1,1349.8,23239.0,2076.5,14889.0,974.7,18164.1
520,1413.4,19737.8,1586.6,23159.3,1969.2,20103.9,1406.0,23749.1,1996.6,15275.5,985.9,18584.5
521,1389.6,20197.8,1658.7,23672.3,1909.5,20622.6,1462.2,24259.1,1916.6,15662.0,997.2,19004.8
522,1353.5,20680.4,1692.3,24114.9,1831.9,21083.5,1494.5,24747.9,1846.7,16035.4,1016.2,19332.3
523,1311.7,21173.3,1708.1,24524.7,1745.9,21517.5,1515.9,25226.8,1781.4,16402.7,1038.9,19616.7
524,1265.1,21581.6,1738.5,24869.1,1665.0,21900.3,1530.3,25609.5,1710.4,16704.7,1054.2,19835.2
525,1208.0,21805.8,1800.4,25071.6,1594.9,22172.0,1529.8,25782.9,1626.8,16864.7,1053.9,19910.2
526,1150.9,22029.9,1862.4,25274.0,1524.9,22443.8,1529.2,25956.4,1543.2,17024.8,1053.5,19985.2
527,1074.7,21950.1,1819.9,25097.5,1445.8,22372.7,1537.3,25785.9,1451.2,16979.0,1069.8,19853.3
528,997.6,21855.1,1772.1,24902.0,1366.3,22284.6,1545.8,25598.1,1358.9,16922.9,1087.0,19711.1
529,935.8,21773.1,1747.0,24732.7,1270.1,22219.9,1543.9,25409.0,1279.2,16869.4,1076.2,19552.9
530,884.4,21700.0,1737.4,24581.4,1162.5,22171.2,1535.0,25218.9,1208.3,16817.5,1046.4,19383.9
531,832.8,21585.0,1726.2,24393.6,1066.9,22078.8,1528.7,24993.9,1136.7,16726.0,1022.9,19196.3
532,780.4,21339.4,1710.6,24092.3,1008.5,21849.8,1530.8,24659.8,1062.5,16511.1,1019.2,18951.0
533,728.0,21093.9,1694.9,23790.9,950.2,21620.9,1532.9,24325.8,988.4,16296.1,1015.4,18705.7
534,648.3,20739.2,1676.5,23360.5,891.7,21217.0,1479.0,23867.2,903.7,16049.5,1003.5,18326.0
535,565.4,20371.8,1657.9,22915.2,833.1,20793.0,1418.5,23394.1,817.8,15799.3,990.6,17930.8
536,513.1,19881.1,1618.9,22331.7,767.8,20293.4,1389.7,22800.3,752.2,15423.3,975.5,17462.6
537,485.4,19291.6,1563.7,21637.5,697.1,19733.2,1386.5,22109.7,702.7,14946.4,958.6,16936.0
538,459.5,18732.1,1518.4,20973.1,633.2,19180.3,1373.9,21439.2,651.5,14494.6,935.3,16430.2
539,439.8,18279.7,1508.3,20415.3,593.4,18653.3,1328.6,20840.3,594.1,14132.4,889.1,15998.7
540,420.2,17827.4,1498.2,19857.5,553.6,18126.3,1283.2,20241.4,536.7,13770.2,842.9,15567.2
541,368.7,17174.5,1431.6,19154.4,516.2,17529.4,1232.7,19532.3,498.5,13291.5,843.3,14968.1
542,313.3,16496.6,1357.9,18433.0,479.0,16923.7,1181.5,18809.4,462.7,12798.3,849.6,14348.0
543,273.2,15862.3,1305.1,17730.0,434.9,16269.2,1140.2,18067.8,424.1,12292.0,836.0,13768.3
544,245.0,15261.7,1268.5,17041.1,385.3,15577.0,1106.7,17311.6,383.4,11775.6,807.2,13219.9
545,227.0,14644.0,1232.3,16334.4,341.3,14894.0,1077.3,16558.0,345.4,11265.7,769.7,12665.6
546,240.5,13973.3,1197.8,15572.0,314.5,14239.8,1060.8,15812.7,316.0,10775.9,705.6,12092.8
547,253.9,13302.5,1163.2,14809.7,287.7,13585.7,1044.3,15067.3,286.6,10286.2,641.5,11520.0
548,222.0,12677.7,1111.5,14096.2,269.2,12908.9,1011.1,14311.0,261.2,9768.2,646.6,10929.6
549,186.7,12056.3,1058.6,13386.4,251.3,12230.5,976.6,13553.9,236.2,9247.9,656.8,10337.9
550,156.7,11460.3,1009.6,12714.1,231.4,11599.6,931.0,12877.5,221.0,8788.5,654.1,9795.8
551,129.9,10879.8,962.9,12064.7,210.4,10997.5,878.8,12250.2,211.7,8366.0,643.5,9283.9
552,128.1,10281.8,920.0,11409.4,193.7,10397.0,831.7,11591.2,203.9,7930.6,616.7,8774.1
553,180.0,9646.8,885.0,10741.5,186.3,9799.9,795.7,10864.1,199.1,7467.4,555.2,8269.0
554,228.9,9013.0,849.4,10074.9,178.4,9203.4,759.2,10140.5,193.5,7005.5,494.3,7765.5
555,146.8,8440.4,788.7,9466.2,143.9,8636.6,695.8,9574.8,147.1,6598.7,456.1,7335.2
556,64.7,7867.7,728.0,8857.6,109.5,8069.9,632.5,9009.2,100.7,6191.8,417.8,6904.8
557,25.7,7354.2,677.5,8246.8,91.7,7518.1,580.7,8382.2,79.4,5746.9,381.4,6416.5
558,2.8,6862.7,630.8,7635.2,80.0,6971.9,533.3,7732.5,67.4,5287.9,345.7,5906.6
559,9.4,6368.0,590.7,7075.4,77.6,6445.6,511.7,7136.0,60.7,4877.3,329.0,5453.1
560,53.2,5869.4,558.8,6580.6,86.7,5944.5,522.7,6606.3,60.8,4527.3,336.4,5070.3
561,90.7,5389.6,529.5,6097.9,93.6,5464.0,530.2,6102.2,63.1,4190.4,341.7,4692.7
562,95.2,5006.9,513.1,5677.0,89.1,5090.1,519.4,5729.3,76.6,3921.0,336.6,4342.3
563,99.7,4624.2,496.8,5256.2,84.6,4716.2,508.6,5356.5,90.1,3651.5,331.5,3992.0
